train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-04,single,2025-08-05,1,3909325.1192346215,3990441.0,-81115.88076537848,81115.88076537848,6579786112.343098
2025-08-04,multi,2025-08-05,1,3904315.486075419,3990441.0,-86125.513924581,86125.513924581,7417604148.773195
2025-08-04,multi,2025-08-06,2,3960766.244800545,3994766.0,-33999.75519945519,33999.75519945519,1155983353.6228802
2025-08-04,multi,2025-08-07,3,3856953.80105159,3944222.0,-87268.19894840987,87268.19894840987,7615738547.699246
2025-08-04,multi,2025-08-08,4,3553949.4359707935,3654157.0,-100207.56402920652,100207.56402920652,10041555888.667524
2025-08-04,multi,2025-08-09,5,2573827.8242043667,2669616.0,-95788.17579563335,95788.17579563335,9175374622.255157
2025-08-04,multi,2025-08-10,6,2005413.2336589,2199682.0,-194268.76634109998,194268.76634109998,37740353575.6929
2025-08-04,iterative,2025-08-05,1,3938593.1910978914,3990441.0,-51847.808902108576,51847.808902108576,2688195287.949569
2025-08-04,iterative,2025-08-06,2,3972365.9190302705,3994766.0,-22400.08096972946,22400.08096972946,501763627.45043594
2025-08-04,iterative,2025-08-07,3,3913865.2316085445,3944222.0,-30356.768391455524,30356.768391455524,921533387.1724732
2025-08-04,iterative,2025-08-08,4,3585263.8455394944,3654157.0,-68893.15446050558,68893.15446050558,4746266731.51908
2025-08-04,iterative,2025-08-09,5,2606911.7254129224,2669616.0,-62704.274587077554,62704.274587077554,3931826051.49162
2025-08-04,iterative,2025-08-10,6,2141814.420495955,2199682.0,-57867.57950404519,57867.57950404519,3348656757.656991
