train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-07-31,single,2025-08-01,1,3433699.2244575517,3597958.0,-164258.77554244827,164258.77554244827,26980945342.704403
2025-07-31,multi,2025-08-01,1,3514564.72886541,3597958.0,-83393.2711345898,83393.2711345898,6954437670.527208
2025-07-31,multi,2025-08-02,2,2656404.996251364,2661424.0,-5019.003748636227,5019.003748636227,25190398.6288245
2025-07-31,multi,2025-08-03,3,2051340.6915888067,2109144.0,-57803.30841119331,57803.30841119331,3341222463.2795315
2025-07-31,iterative,2025-08-01,1,3481501.7685540984,3597958.0,-116456.23144590156,116456.23144590156,13562053842.581392
2025-07-31,iterative,2025-08-02,2,2637836.137536896,2661424.0,-23587.862463104073,23587.862463104073,556387255.5783142
2025-07-31,iterative,2025-08-03,3,2111160.749377262,2109144.0,2016.7493772618473,2016.7493772618473,4067278.050686049
2025-08-01,single,2025-08-02,1,2612967.7694122144,2661424.0,-48456.2305877856,48456.2305877856,2348006282.7766485
2025-08-01,multi,2025-08-02,1,2640997.2501880187,2661424.0,-20426.74981198134,20426.74981198134,417252107.88127965
2025-08-01,multi,2025-08-03,2,2111048.1824532133,2109144.0,1904.1824532132596,1904.1824532132596,3625910.8151252675
2025-08-01,iterative,2025-08-02,1,2593559.200884567,2661424.0,-67864.79911543289,67864.79911543289,4605630958.978061
2025-08-01,iterative,2025-08-03,2,2104763.5968513777,2109144.0,-4380.403148622252,4380.403148622252,19187931.74445974
2025-08-02,single,2025-08-03,1,2105332.343395056,2109144.0,-3811.656604943797,3811.656604943797,14528726.074011672
2025-08-02,multi,2025-08-03,1,2081263.9571041933,2109144.0,-27880.04289580672,27880.04289580672,777296791.8720227
2025-08-02,iterative,2025-08-03,1,2081263.9571041933,2109144.0,-27880.04289580672,27880.04289580672,777296791.8720227
2025-08-03,single,2025-08-04,1,3444388.9090070454,3603430.0,-159041.09099295456,159041.09099295456,25294068624.22925
2025-08-03,multi,2025-08-04,1,3444479.343761126,3603430.0,-158950.65623887395,158950.65623887395,25265311118.76868
2025-08-03,multi,2025-08-05,2,3806907.996363769,3990441.0,-183533.00363623118,183533.00363623118,33684363423.736847
2025-08-03,multi,2025-08-06,3,3886079.1889724554,3994784.0,-108704.81102754455,108704.81102754455,11816735940.534172
2025-08-03,multi,2025-08-07,4,3733822.5218598666,3944245.0,-210422.47814013343,210422.47814013343,44277619306.63493
2025-08-03,multi,2025-08-08,5,3660930.3753907746,3654184.0,6746.37539077457,6746.37539077457,45513580.91324874
2025-08-03,multi,2025-08-09,6,2627455.5052098236,2669633.0,-42177.494790176395,42177.494790176395,1778941066.775357
2025-08-03,multi,2025-08-10,7,2050540.1087603162,2199709.0,-149168.89123968384,149168.89123968384,22251358113.67663
2025-08-03,iterative,2025-08-04,1,3437837.4860964147,3603430.0,-165592.51390358526,165592.51390358526,27420880660.909077
2025-08-03,iterative,2025-08-05,2,3827595.647740672,3990441.0,-162845.35225932812,162845.35225932812,26518608752.464664
2025-08-03,iterative,2025-08-06,3,3936234.3692614855,3994784.0,-58549.630738514476,58549.630738514476,3428059259.6163993
2025-08-03,iterative,2025-08-07,4,3887199.013229715,3944245.0,-57045.98677028483,57045.98677028483,3254244606.5955114
2025-08-03,iterative,2025-08-08,5,3589644.879077964,3654184.0,-64539.120922036,64539.120922036,4165298129.3891854
2025-08-03,iterative,2025-08-09,6,2574717.529616267,2669633.0,-94915.47038373305,94915.47038373305,9008946518.165304
2025-08-03,iterative,2025-08-10,7,2121649.2422399083,2199709.0,-78059.75776009168,78059.75776009168,6093325781.564194
2025-08-04,single,2025-08-05,1,3909325.140351097,3990441.0,-81115.8596489029,81115.8596489029,6579782686.580514
2025-08-04,multi,2025-08-05,1,3904315.486075419,3990441.0,-86125.513924581,86125.513924581,7417604148.773195
2025-08-04,multi,2025-08-06,2,3960766.2688399977,3994784.0,-34017.731160002295,34017.731160002295,1157206033.2741911
2025-08-04,multi,2025-08-07,3,3856953.8127688514,3944245.0,-87291.1872311486,87291.1872311486,7619751368.223439
2025-08-04,multi,2025-08-08,4,3553949.523093264,3654184.0,-100234.47690673592,100234.47690673592,10046950360.766975
2025-08-04,multi,2025-08-09,5,2573827.936143386,2669633.0,-95805.06385661382,95805.06385661382,9178610260.569853
2025-08-04,multi,2025-08-10,6,2005413.4829050403,2199709.0,-194295.51709495974,194295.51709495974,37750747963.19779
2025-08-04,iterative,2025-08-05,1,3938593.8081702106,3990441.0,-51847.19182978943,51847.19182978943,2688131300.634984
2025-08-04,iterative,2025-08-06,2,3972366.3581649004,3994784.0,-22417.641835099552,22417.641835099552,502550665.4468056
2025-08-04,iterative,2025-08-07,3,3913866.2891322817,3944245.0,-30378.710867718328,30378.710867718328,922866073.9844277
2025-08-04,iterative,2025-08-08,4,3585264.6138168653,3654184.0,-68919.38618313475,68919.38618313475,4749881791.8600645
2025-08-04,iterative,2025-08-09,5,2606912.4141853573,2669633.0,-62720.58581464272,62720.58581464272,3933871884.9319615
2025-08-04,iterative,2025-08-10,6,2141815.0135453497,2199709.0,-57893.986454650294,57893.986454650294,3351713667.611232
2025-08-05,single,2025-08-06,1,4013505.785503299,3994784.0,18721.785503298976,18721.785503298976,350505252.43153566
2025-08-05,multi,2025-08-06,1,4005996.2591058076,3994784.0,11212.259105807636,11212.259105807636,125714754.25576624
2025-08-05,multi,2025-08-07,2,3963371.928307207,3944245.0,19126.928307206836,19126.928307206836,365839386.46903014
2025-08-05,multi,2025-08-08,3,3714691.85805553,3654184.0,60507.858055530116,60507.858055530116,3661200886.4681807
2025-08-05,multi,2025-08-09,4,2650467.649686509,2669633.0,-19165.350313491188,19165.350313491188,367310652.6388368
2025-08-05,multi,2025-08-10,5,2031334.8050951941,2199709.0,-168374.19490480586,168374.19490480586,28349869509.841553
2025-08-05,iterative,2025-08-06,1,3982836.7908406775,3994784.0,-11947.209159322549,11947.209159322549,142735806.6966006
2025-08-05,iterative,2025-08-07,2,3950378.238603407,3944245.0,6133.238603407051,6133.238603407051,37616615.76632248
2025-08-05,iterative,2025-08-08,3,3555609.5951904613,3654184.0,-98574.40480953874,98574.40480953874,9716913283.554815
2025-08-05,iterative,2025-08-09,4,2631472.157689892,2669633.0,-38160.84231010778,38160.84231010778,1456249885.816912
2025-08-05,iterative,2025-08-10,5,2120125.8093067002,2199709.0,-79583.19069329975,79583.19069329975,6333484240.926112
2025-08-06,single,2025-08-07,1,3983515.7800286976,3944245.0,39270.78002869757,39270.78002869757,1542194164.062352
2025-08-06,multi,2025-08-07,1,3934438.8016352295,3944245.0,-9806.198364770506,9806.198364770506,96161526.36922774
2025-08-06,multi,2025-08-08,2,3641409.9186562756,3654184.0,-12774.081343724392,12774.081343724392,163177154.1760876
2025-08-06,multi,2025-08-09,3,2618398.2895707125,2669633.0,-51234.710429287516,51234.710429287516,2624995552.772943
2025-08-06,multi,2025-08-10,4,1978871.6414125925,2199709.0,-220837.3585874075,220837.3585874075,48769138947.863205
2025-08-06,iterative,2025-08-07,1,3933364.3773103734,3944245.0,-10880.622689626645,10880.622689626645,118387950.11401817
2025-08-06,iterative,2025-08-08,2,3573763.0711122216,3654184.0,-80420.92888777843,80420.92888777843,6467525803.173115
2025-08-06,iterative,2025-08-09,3,2623164.7461247994,2669633.0,-46468.25387520064,46468.25387520064,2159298618.210099
2025-08-06,iterative,2025-08-10,4,2136451.745600223,2199709.0,-63257.254399776924,63257.254399776924,4001480234.198097
2025-08-07,single,2025-08-08,1,3643922.081007938,3654184.0,-10261.9189920621,10261.9189920621,105306981.3996448
2025-08-07,multi,2025-08-08,1,3555609.5951904613,3654184.0,-98574.40480953874,98574.40480953874,9716913283.554815
2025-08-07,multi,2025-08-09,2,2490959.733161952,2669633.0,-178673.26683804812,178673.26683804812,31924136282.580345
2025-08-07,multi,2025-08-10,3,1998377.2080915298,2199709.0,-201331.79190847022,201331.79190847022,40534490433.075554
2025-08-07,iterative,2025-08-08,1,3613908.6277963514,3654184.0,-40275.372203648556,40275.372203648556,1622105606.1424267
2025-08-07,iterative,2025-08-09,2,2696077.3607969913,2669633.0,26444.36079699127,26444.36079699127,699304217.9614488
2025-08-07,iterative,2025-08-10,3,2129446.507942421,2199709.0,-70262.4920575791,70262.4920575791,4936817790.141367
2025-08-08,single,2025-08-09,1,2623489.9541169708,2669633.0,-46143.045883029234,46143.045883029234,2129180683.363341
2025-08-08,multi,2025-08-09,1,2691116.449349,2669633.0,21483.44934900012,21483.44934900012,461538595.93105364
2025-08-08,multi,2025-08-10,2,2000032.8308900846,2199709.0,-199676.16910991538,199676.16910991538,39870572510.41153
2025-08-08,iterative,2025-08-09,1,2695185.572912995,2669633.0,25552.572912994772,25552.572912994772,652933982.4739141
2025-08-08,iterative,2025-08-10,2,2129460.0993443667,2199709.0,-70248.9006556333,70248.9006556333,4934908043.325037
2025-08-09,single,2025-08-10,1,2129585.2512765205,2199709.0,-70123.74872347945,70123.74872347945,4917340135.033687
2025-08-09,multi,2025-08-10,1,2146329.1185893114,2199709.0,-53379.88141068863,53379.88141068863,2849411739.4191813
2025-08-09,iterative,2025-08-10,1,2146329.1185893114,2199709.0,-53379.88141068863,53379.88141068863,2849411739.4191813
